objectid,facility_id,ctprvnnm,signgunm,signgucode,rdnmadr,lnmadr,fclty_knd,trget_fclty_nm,latitude,longitude,institution_nm,cmptnc_polcsttn_nm,cctv_yn,cctv_number,prtcarea_rw,dsgn_ymd,et,bt,sgngnrco,unitysflblco,prtcareasflblco,crslkco,hghlacrslkco,bollaco,rdscindictco,prctfenceet,nesinstlet,roadrflectco,ovrspdprvnco,sliprvnfclco,sliprvnfclet,lmttves,lmttvesgnalco,prkstopprhibtsgnalco,referencedate,instt_code,instt_nm,handicapcvntlyn,handicapcvntltype,shape_Length,shape_Area
763,823,인천광역시,동구,28140,제물량로,인천광역시 동구 만석동,어린이집,만석어린이집,37.481362,126.621038,인천광역시청,,,,,,,,0,0,,0,0,0,7,50,0,0,3,1,,0,,0,2021-12-03,,,,,278.8917295,2719.61299
784,795,인천광역시,동구,28140,송림로,인천광역시 동구 송림1동182-222,초등학교,송림초교,37.47359,126.637802,인천광역시청,,,,,,,,3,0,,0,0,0,8,0,0,0,0,1,,0,,0,2021-12-03,,,,,442.439459,4703.729004
800,810,인천광역시,동구,28140,우각로32번길,인천광역시 동구 금창동77,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.470719,126.63929,인천광역시청,,,,,,,,0,0,,0,0,0,1,0,0,0,0,0,,0,,0,2021-12-03,,,,,82.4907333,187.4446586
805,807,인천광역시,동구,28140,송림로82번길,인천광역시 동구 송림2동,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.474978,126.643928,인천광역시청,,,,,,,,0,0,,0,0,0,11,0,0,2,3,0,,0,,0,2021-12-03,,,,,258.1465978,833.9273342
811,819,인천광역시,동구,28140,샛골로193번길,인천광역시 동구 송현3동,초등학교,서흥초교-동구노인복지회관통합,37.47993,126.644483,인천광역시청,,,,,,,,0,0,,0,0,0,6,0,0,0,1,0,,0,,0,2021-12-03,,,,,317.4368121,1194.069723
812,793,인천광역시,동구,28140,화도진로,인천광역시 동구 송현1.2동,초등학교,송림초교,37.47424,126.635979,인천광역시청,,,,,,,,4,31,,0,0,0,0,0,0,0,2,1,,0,,0,2021-12-03,,,,,631.2282512,5245.90733
814,794,인천광역시,동구,28140,솔빛로,인천광역시 동구 송림1동182-222,초등학교,송림초교,37.47496,126.638812,인천광역시청,,,,,,,,0,18,,0,0,0,18,200,0,6,9,2,,0,,0,2021-12-03,,,,,537.3026924,2006.658396
815,797,인천광역시,동구,28140,제물량로,인천광역시 동구 만석동,어린이집,만석초교-화도보듬이나눔이어린이집,37.484747,126.62812,인천광역시청,,,,,,,,4,0,,0,0,0,21,330,0,0,1,2,,0,,0,2021-12-03,,,,,776.4378572,5336.148739
817,798,인천광역시,동구,28140,쌍우물로,인천광역시 동구 화수1.화평동,어린이집,만석초교-화도보듬이나눔이어린이집,37.484236,126.628947,인천광역시청,,,,,,,,0,0,,0,0,0,6,15,0,2,4,1,,0,,0,2021-12-03,,,,,367.8884548,1598.4088
818,801,인천광역시,동구,28140,쌍우물로,인천광역시 동구 화수1.화평동,어린이집,통합구역(송현초교-화평어린이집),37.481416,126.632529,인천광역시청,,,,,,,,0,0,,0,0,0,9,95,0,0,3,1,,0,,0,2021-12-03,,,,,341.2315876,1594.258547
820,802,인천광역시,동구,28140,송화로,인천광역시 동구 화수1.화평동,어린이집,통합구역(송현초교-화평어린이집),37.480597,126.633179,인천광역시청,,,,,,,,0,0,,0,0,0,22,300,0,4,2,1,,0,,0,2021-12-03,,,,,786.8671611,6143.138826
821,803,인천광역시,동구,28140,화수로,인천광역시 동구 화수2동,어린이집,통합구역(송현초교-화평어린이집),37.481621,126.634671,인천광역시청,,,,,,,,4,0,,0,0,0,16,255,0,2,5,4,,0,,0,2021-12-03,,,,,814.6412862,6353.591465
822,804,인천광역시,동구,28140,송림로,인천광역시 동구 송림1동182-222,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.475039,126.642082,인천광역시청,,,,,,,,4,0,,0,0,0,12,0,0,0,0,0,,0,,0,2021-12-03,,,,,663.2030752,7133.572424
824,805,인천광역시,동구,28140,송림로70번길,인천광역시 동구 송림2동,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.474194,126.642901,인천광역시청,,,,,,,,4,0,,0,0,0,9,38,0,0,0,1,,0,,0,2021-12-03,,,,,436.5108074,1152.49808
825,806,인천광역시,동구,28140,금곡로47번길,인천광역시 동구 송림1동182-222,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.473777,126.641336,인천광역시청,,,,,,,,0,0,,0,0,0,6,0,0,0,0,1,,0,,0,2021-12-03,,,,,250.556892,599.6575485
827,808,인천광역시,동구,28140,우각로15번길,인천광역시 동구 금창동77,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.472089,126.638905,인천광역시청,,,,,,,,0,0,,0,0,0,0,90,0,0,3,3,,0,,0,2021-12-03,,,,,420.543325,1146.415275
829,809,인천광역시,동구,28140,우각로,인천광역시 동구 금창동77,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.47091,126.639401,인천광역시청,,,,,,,,0,0,,0,0,0,1,150,0,1,6,1,,0,,0,2021-12-03,,,,,905.8287611,3934.084334
831,817,인천광역시,동구,28140,송림로118번길,인천광역시 동구 송림3.5동,초등학교,서림초교,37.476382,126.647842,인천광역시청,,,,,,,,0,0,,0,0,0,15,0,0,0,0,1,,0,,0,2021-12-03,,,,,249.4470651,626.2366428
832,811,인천광역시,동구,28140,샛골로73번길,인천광역시 동구 금창동77,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.469995,126.640443,인천광역시청,,,,,,,,0,0,,0,0,0,3,0,0,0,6,0,,0,,0,2021-12-03,,,,,519.062564,1368.345148
833,820,인천광역시,동구,28140,솔빛로91번길,인천광역시 동구 송림2동,초등학교,서흥초교-동구노인복지회관통합,37.478943,126.644067,인천광역시청,,,,,,,,0,0,,0,0,0,11,0,0,0,3,1,,0,,0,2021-12-03,,,,,472.1680735,1636.31503
834,812,인천광역시,동구,28140,금곡로,인천광역시 동구 송림1동182-222,어린이집,동명초교(창영초교-영화초교-동구사랑어린이집통합),37.473243,126.63956,인천광역시청,,,,,,,,0,0,,0,0,0,20,0,0,2,2,1,,0,,0,2021-12-03,,,,,829.1130117,3526.004503
836,813,인천광역시,동구,28140,금곡로,인천광역시 동구 송림3.5동,초등학교,서림초교,37.474636,126.647113,인천광역시청,,,,,,,,0,0,,0,0,0,9,147,0,0,4,0,,0,,0,2021-12-03,,,,,372.2181028,1798.427562
837,814,인천광역시,동구,28140,금곡로103번길,인천광역시 동구 송림3.5동,초등학교,서림초교,37.474896,126.646248,인천광역시청,,,,,,,,0,0,,0,0,0,6,135,0,0,2,1,,0,,0,2021-12-03,,,,,322.4091301,932.4443944
838,815,인천광역시,동구,28140,동산로88번길,인천광역시 동구 송림3.5동,초등학교,서림초교,37.475512,126.645749,인천광역시청,,,,,,,,0,0,,0,0,0,4,70,0,1,0,0,,0,,0,2021-12-03,,,,,175.175639,509.0267329
839,816,인천광역시,동구,28140,송림로110번길,인천광역시 동구 송림3.5동,초등학교,서림초교,37.476056,126.646732,인천광역시청,,,,,,,,0,0,,0,0,0,5,0,0,0,2,1,,0,,0,2021-12-03,,,,,358.7277925,988.2396522
840,818,인천광역시,동구,28140,샛골로,인천광역시 동구 송현3동,초등학교,서흥초교-동구노인복지회관통합,37.478733,126.64524,인천광역시청,,,,,,,,6,0,,0,0,0,47,180,0,0,0,1,,0,,0,2021-12-03,,,,,929.1916455,13257.17939
841,825,인천광역시,동구,28140,새천년로34번길,인천광역시 동구 송림3.5동,어린이집,정원어린이집,37.471451,126.650369,인천광역시청,,,,,,,,0,0,,0,0,0,4,0,0,2,1,1,,0,,0,2021-12-03,,,,,254.6353996,700.0491187
842,828,인천광역시,동구,28140,봉수대로7번길,인천광역시 동구 송림4동,어린이집,송림휴먼시아어린이집,37.479123,126.652418,인천광역시청,,,,,,,,0,0,,0,0,0,6,0,0,0,2,4,,0,,0,2021-12-03,,,,,191.0044574,747.6217614
843,829,인천광역시,동구,28140,송향로22번길,인천광역시 동구 송림4동,어린이집,송림휴먼시아어린이집,37.480442,126.652592,인천광역시청,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,2021-12-03,,,,,119.345651,418.7075285
1313,827,인천광역시,동구,28140,송향로,인천광역시 동구 송림4동,어린이집,송림휴먼시아어린이집,37.480206,126.652146,인천광역시청,,,,,,,,0,0,,0,0,0,13,230,0,1,5,0,,0,,0,2021-12-03,,,,,710.079665,4746.860699
1328,799,인천광역시,동구,28140,화수로79번길,인천광역시 동구 화수2동,어린이집,만석초교-화도보듬이나눔이어린이집,37.484444,126.62921,인천광역시청,,,,,,,,0,0,,0,0,0,3,50,0,0,2,1,,0,,0,2021-12-03,,,,,136.3262145,405.4687824
1329,800,인천광역시,동구,28140,제물량로,인천광역시 동구 만석동,어린이집,만석초교-화도보듬이나눔이어린이집,37.484044,126.627502,인천광역시청,,,,,,,,4,0,,0,0,0,16,330,0,0,4,1,,0,,0,2021-12-03,,,,,158.3153561,585.1041438
